Race ID,Horse Name,Average Speed,Time Taken,Win,Lose,Fallen
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 9,62.5,8,0,1,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 2,55.55555555555556,9,0,1,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 1,38.46153846153846,13,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 9,500.0,1,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 3,166.66666666666666,3,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 4,166.66666666666666,3,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 5,100.0,5,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 1,83.33333333333333,6,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 8,71.42857142857143,7,1,0,0
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 6,62.5,8,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 2,50.0,10,0,0,1
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 7,45.45454545454545,11,0,1,0
c6891ff7-0082-4b57-9a66-b61062a9b113,Horse 0,35.714285714285715,14,0,1,0
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 3,250.0,2,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 9,166.66666666666666,3,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 0,125.0,4,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 8,83.33333333333333,6,0,1,0
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 5,83.33333333333333,6,0,1,0
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 4,55.55555555555556,9,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 2,50.0,10,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 1,41.666666666666664,12,0,0,1
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 7,38.46153846153846,13,0,1,0
d95c26d5-dcdf-48f0-894b-655fce83f820,Horse 6,27.77777777777778,18,0,1,0
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 2,Infinity,0,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 0,Infinity,0,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 6,225.0,3,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 3,168.75,4,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 7,96.42857142857143,7,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 8,84.375,8,0,1,0
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 5,67.5,10,0,1,0
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 9,56.25,12,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 4,51.92307692307692,13,0,0,1
c282024f-d03f-4085-aa17-e4cb981d0961,Horse 1,35.526315789473685,19,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 6,Infinity,0,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 2,698.0,1,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 5,349.0,2,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 1,232.66666666666666,3,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 4,174.5,4,0,0,1
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 3,116.33333333333333,6,1,0,0
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 0,116.33333333333333,6,0,1,0
21436a82-2da1-4d3f-bcee-fb1d02c5171a,Horse 7,58.166666666666664,12,0,1,0
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 3,500.0,1,0,0,1
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 1,250.0,2,0,0,1
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 0,125.0,4,1,0,0
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 6,125.0,4,0,1,0
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 2,125.0,4,0,0,1
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 7,100.0,5,0,1,0
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 4,100.0,5,0,1,0
f453bed1-a986-4b59-8c11-c7c5d17d7c16,Horse 5,50.0,10,0,1,0
0e2a6698-c0d0-4ed6-b927-81918724aafd,Horse 0,250.0,2,0,0,1
0e2a6698-c0d0-4ed6-b927-81918724aafd,Horse 2,125.0,4,1,0,0
0e2a6698-c0d0-4ed6-b927-81918724aafd,Horse 5,100.0,5,0,0,1
